
|曲名|かんたん|ふつう|むずかしい|ドンだフル！|
|もりのくまさん|97|107|197|197|
|なんでだろう〜両さんバージョン〜|82|128|159|159|
|UFO|128|159|261|261|
|ドラえもん音頭|101|151|253|282|
|おどるポンポコリン|189|258|374|362|
|アンパンマンのマーチ|93|261|390|400|
|ね〜え？|89|142|197|212|
|北酒場|75|98|139|271|
|明日への扉|90|144|218|281|
|ドンパン節|95|127|201|261|
|ドラえもんのうた|85|131|215|300|
|クラシック 新世界より|209|274|364|364|
|シーソーゲーム 〜勇敢な恋の歌〜|99|124|251|310|
|大切なもの|161|216|281|331|
|ミニモニ。テレフォン！リンリンリン|192|225|415|448|
|ハム太郎とっとこうた|87|131|268|338|
|おさかな天国|83|173|306|318|
|平成太鼓街道〜バチの女〜|未収録|128|230|230|
|クラシックメドレー(運動会編)|169|208|344|344|
|VALENTI|66|94|153|244|
|3年目の浮気|89|113|229|272|
|爆竜戦隊アバレンジャー|88|107|179|266|
|One Night Carnival|158|223|330|377|
|DIAMONDS -ダイアモンド-|132|195|263|337|
|My Revolution|139|175|243|419|
|タッチ|102|142|242|300|
|ねこくじら|未収録|275|411|411|
|交響曲第5番「運命」|169|275|414|414|
|六甲おろし|117|143|350|448|
|Darling|117|158|288|349|
|そばかす|100|127|220|277|
|CHA-LA HEAD-CHA-LA|85|119|222|291|
|true blue|88|118|211|312|
|ウィリアム・テル序曲|155|277|434|438|
|太鼓のマーチ|未収録|390|553|553|
|サザエさん一家|69|117|249|305|
|TRAIN-TRAIN|237|358|439|529|
|BE ALL RIGHT!|114|172|228|332|
|GOOD BYE 夏男|125|174|261|356|
|佐賀県|145|205|327|453|
|夏祭り|135|172|389|488|
|それが大事|138|196|365|461|
|ラブリーX|未収録|402|485|489|
|Get Wild|108|166|236|381|
|Rhythm and Police|122|184|322|353|
|ヒカリへ|122|167|295|358|
|エレクトリカルパレード|112|147|278|517|
|ゴーゴー・キッチン|未収録|374|558|558|
|ゼビウス体操|未収録|213|337|337|
|エリンギのエクボ|未収録|320|501|501|
|太鼓侍|未収録|268|519|519|
|風雲！バチお先生|未収録|245|476|476|
|サタデー太鼓フィーバー|未収録|177|437|437|
|KAGEKIYO 源平討魔伝メドレー|未収録|412|765|765|
