*毎日チャレンジ道場 [#title]
[[Wii1の収録曲]]
|||46|CENTER:38|89|c
|曲名|BPM|レベル|出現方法|h
|[[太鼓心得　その1>難易度表/その他/太鼓心得　その1]]|116|1|最初から出現|
|[[太鼓心得　その2>難易度表/その他/太鼓心得　その2]]|116|1|最初から出現|
|[[太鼓心得　その3>難易度表/その他/太鼓心得　その3]]|116|1|最初から出現|
|[[太鼓心得　その4>難易度表/その他/太鼓心得　その4]]|116|1|最初から出現|
|[[太鼓心得　その5>難易度表/その他/太鼓心得　その5]]|116|1|最初から出現|
|[[太鼓心得　その6>難易度表/その他/太鼓心得　その6]]|116|1|最初から出現|
|[[太鼓心得　その7>難易度表/その他/太鼓心得　その7]]|116|1|最初から出現|
|[[太鼓心得　その8>難易度表/その他/太鼓心得　その8]]|116|2|段位「3級」|
|[[太鼓心得　その9>難易度表/その他/太鼓心得　その9]]|116|2|段位「3級」|
|[[太鼓心得　その10>難易度表/その他/太鼓心得　その10]]|116|2|段位「3級」|
|[[むずかしい特訓　その1>難易度表/その他/むずかしい特訓　その1]]|80|3|段位「三段」|
|[[むずかしい特訓　その2>難易度表/その他/むずかしい特訓　その2]]|116|3|段位「三段」|
|[[むずかしい特訓　その3>難易度表/その他/むずかしい特訓　その3]]|116|3|段位「三段」|
|[[むずかしい特訓　その4>難易度表/その他/むずかしい特訓　その4]]|80|3|段位「三段」|
|[[むずかしい特訓　その5>難易度表/その他/むずかしい特訓　その5]]|80|4|段位「三段」|
|[[むずかしい特訓　その6>難易度表/その他/むずかしい特訓　その6]]|80|4|段位「七段」|
|[[むずかしい特訓　その7>難易度表/その他/むずかしい特訓　その7]]|116|4|段位「七段」|
|[[むずかしい特訓　その8>難易度表/その他/むずかしい特訓　その8]]|116|5|段位「七段」|
|[[むずかしい特訓　その9>難易度表/その他/むずかしい特訓　その9]]|116|5|段位「七段」|
|[[むずかしい特訓　その10>難易度表/その他/むずかしい特訓　その10]]|80|5|段位「七段」|
|[[おにマスター　その1>難易度表/その他/おにマスター　その1]]|116|6|段位「十段」|
|[[おにマスター　その2>難易度表/その他/おにマスター　その2]]|80|6|段位「十段」|
|[[おにマスター　その3>難易度表/その他/おにマスター　その3]]|116|7|段位「十段」|
|[[おにマスター　その4>難易度表/その他/おにマスター　その4]]|116|7|段位「十段」|
|[[おにマスター　その5>難易度表/その他/おにマスター　その5]]|150|7|段位「十段」|
|[[おにマスター　その6>難易度表/その他/おにマスター　その6]]|150|7|段位「超人」|
|[[おにマスター　その7>難易度表/その他/おにマスター　その7]]|150|7|段位「超人」|
|[[おにマスター　その8>難易度表/その他/おにマスター　その8]]|80|7|段位「超人」|
|[[おにマスター　その9>難易度表/その他/おにマスター　その9]]|150|7|段位「超人」|
