[[難易度表/おに/HARDCOREノ心得]]

-ラストがやばい --  &new{2017-09-06 (水) 18:22:34};
-これ14小節目のddkが明らかに32分だとしか考えられないんだけど、遂に32分音符置けるようになったんだろうか --  &new{2017-09-06 (水) 18:38:53};
-↑ゲラゲラと笑うなのラストのように最初の2連打の部分だけ速くなっている可能性もあります。キャプチャ動画だったらもう少し分かりやすくなるかもしれません。 --  &new{2017-09-06 (水) 18:47:08};
-885（ハッピーハードコア） --  &new{2017-09-06 (水) 19:15:16};
-ハッピーハードコアではないけど曲中も「ハーコー」って言ってるから合わせてるかも --  &new{2017-09-06 (水) 19:25:00};
-段位最終曲、ガバキック、盆踊りリズム…ギガデリかな？ --  &new{2017-09-06 (水) 19:28:37};
-↑5 32分っぽい所の前後だけ音符の目や口の動きが早くなってるので、ピンポイントでそこだけ速くなってる…かもしれないです --  &new{2017-09-06 (水) 20:16:43};
-↑ 特訓モードの動画が出ていたので、720コンボ目過ぎの所を見てみて下さい。24分より明らかに詰まっていますがどんちゃんの動きなどに変化がありません --  &new{2017-09-06 (水) 20:24:01};
-初日全良はいますね --  &new{2017-09-06 (水) 21:22:33};
-初日全良とかマジか...　次元が違うな --  &new{2017-09-06 (水) 21:43:53};
-ラス殺しの32分どう考えても利き手入りになるはずなんだが... --  &new{2017-09-06 (水) 22:15:07};
-↑4 どうやら150コンボで動きが変化するのを見間違えたみたいです、すみません。 --  &new{2017-09-06 (水) 23:20:24};
-↑2 説明にあるのは"24分"の話だぞ --  &new{2017-09-06 (水) 23:25:43};
-↑いや自分が見た時には32分の記述もあったから書き込んだ。とりあえず反映されててよかった --  &new{2017-09-06 (水) 23:55:34};
-平均密度は約7.6打くらい　意外と低かった --  &new{2017-09-07 (木) 00:07:33};
-これ名人レベルか？ --  &new{2017-09-07 (木) 00:09:57};
-↑時代が変わったんだよ(泣) --  &new{2017-09-07 (木) 00:47:13};
-しかしBPM倍取りは元BPMで32分が仕様上入れられないからじゃなかったのか？何故元BPMで32分が入れられるのに所々倍取りする必要が？ --  &new{2017-09-07 (木) 03:14:37};
-CSに来たら大音符ヤバい… --  &new{2017-09-07 (木) 04:39:36};
-↑2　この曲の場合倍取りは単なる演出かと　それよりチルノ9周年は32分のために倍取りしてるのが謎　どんちゃんの動きに影響がない短時間BPM上げるとか可能なのかな？ --  &new{2017-09-07 (木) 06:41:36};
-まさかのでたらめフルコンボがでた --  &new{2017-09-07 (木) 08:03:58};
-え、直接32分を置けるようになったのか　それか瞬間的にBPM2倍になってるとか？ --  &new{2017-09-07 (木) 08:39:35};
-↑太鼓の仕様上置けないはずじゃ... --  &new{2017-09-07 (木) 10:32:43};
-俺らは太鼓の仕様をわかったつもりになっていたのか・・・・ --  &new{2017-09-07 (木) 11:16:04};
-↑7 このアプデで仕様が変わった可能性 --  &new{2017-09-07 (木) 12:31:24};
-32分の部分だけ瞬間的に倍になってる可能性 --  &new{2017-09-07 (木) 14:35:08};
-どんちゃんにHS0.5かかってる可能性は…？ --  &new{2017-09-07 (木) 14:43:16};
-じゃあ64分 来ちゃう?? --  &new{2017-09-07 (木) 16:28:27};
-曲のノリに合わせてどんちゃんの速さを変える演出好き --  &new{2017-09-07 (木) 16:29:18};
-この曲ところどころ「１に２でhardcore　２でhardcore　３，４がなくて５でhardcore」って言ってる？ --  &new{2017-09-07 (木) 18:31:30};
-放置してる動画見ればわかるけど後半の32分のところも局所的に加速してるから史上初でもなんでもないぞ --  &new{2017-09-07 (木) 19:12:47};
-動画見たけど68・72小節は加速してなかったよ ラストは加速してた ただし↑5の可能性は否定できない --  &new{2017-09-07 (木) 20:04:06};
-ようつべで0.25倍にしてこの譜面を見たけど72小節は音符の顔、どんちゃん共に190の速さで動いてました --  &new{2017-09-07 (木) 20:30:58};
-↑ついでに68小節も --  &new{2017-09-07 (木) 20:36:25};
-68,72小節0.25でよく見たら吐いてる魂の挙動が確かに一瞬早いな --  &new{2017-09-07 (木) 21:08:46};
-たましいの動き見るのが一番わかりやすい 明らかに68,72小節の32分の箇所で動きが一瞬変わってる --  &new{2017-09-07 (木) 21:09:20};
-ハードコアと太鼓めっちゃ合うな。超楽しい --  &new{2017-09-07 (木) 21:24:21};
-↑2、3　マジかよ --  &new{2017-09-07 (木) 23:28:01};
-35小節目は7/4拍子で合った、8/4拍子だとズレが…あと所々BPM360になってるのは380だろうね --  &new{2017-09-08 (金) 00:00:49};
-とりあえず確定してない情報を断言して載せるのはやめようぜ --  &new{2017-09-08 (金) 07:53:25};
-どんちゃんの頷きの周期が一拍分の時間であることと、ため息の速度はBPMに比例することより、35小節目のBPMは1/6倍の約31.67で7/6拍子だと思います。 --  &new{2017-09-08 (金) 07:54:15};
-これさ、名人にしては強くね？ --  &new{2017-09-08 (金) 22:21:08};
-↑超人に出てきても差し支え無いような気がする --  &new{2017-09-08 (金) 23:01:35};
-最後ロール処理でつないだほうが安定できるかな？ --  &new{2017-09-08 (金) 23:58:12};
-↑2　そもそも今回の名人は超人レベルだからね --  &new{2017-09-09 (土) 09:46:51};
-↑そうか...？ --  &new{2017-09-09 (土) 11:27:59};
-そもそもこの曲で32分配置できるようになったとしたらチルパ��裏は(例大祭で譜面作ってたのを変えたくない太鼓チームの意地があったのなら仕方ないとして)倍取りする必要ないのでは？ --  &new{2017-09-09 (土) 14:47:10};
-↑そっちはむやみに既存の譜面を変更されるとガッカリするので問題ない。白薔薇裏やハレルーヤでBPMをHSに置き換えられてしまったときを思えばわかるはず。 --  &new{2017-09-09 (土) 15:21:17};
-↑3, 4 でもこれ玄人と最初の2曲をしっかりできる人ならば32分以外はなんとかなると思うけど --  &new{2017-09-09 (土) 16:06:02};
-↑そうだよな --  &new{2017-09-09 (土) 17:32:08};
-81小節目のカドドカドド(24分)を全良で通すにどうすればいいですか？ --  &new{2017-09-09 (土) 18:20:06};
-↑4 FLOWERとかココロボとか速すぎてうざいと思うけど --  &new{2017-09-09 (土) 18:50:11};
//-個人的に今回の名人は超人よりムズいと思う。 --  &new{2017-09-09 (土) 20:10:29};
-個人的に今回の名人は超人よりムズいと思う。 --  &new{2017-09-09 (土) 20:11:34};
-↑2 それはない。やはり利き手始動だと24分が厳しいのでは？ --  &new{2017-09-09 (土) 22:01:46};
-32分の話題で盛り上がっていますが、フルコン称号は「I LOVE HARDCORE」です --  &new{2017-09-10 (日) 12:43:55};
//-75小節はddddd d k kではなく --  &new{2017-09-10 (日) 15:39:49};
//-75小節はddddd d k kではなく --  &new{2017-09-10 (日) 15:39:50};
-75小節はddddd d d k k じゃなくてdkddd d k kですよ --  &new{2017-09-10 (日) 15:40:41};
-↑これであってるよ --  &new{2017-09-10 (日) 16:14:00};
-この曲120万越しやすい --  &new{2017-09-10 (日) 21:52:29};
-ラストは鳩のビームの強化版 --  &new{2017-09-11 (月) 17:16:49};
-↑悪いけどそれはない。こっちはまだリズムが取りやすいが鳩はマジでリズムわからん --  &new{2017-09-11 (月) 18:04:20};
-↑しかも複合の長さも違う --  &new{2017-09-11 (月) 19:44:08};
-かんたん★5 201コンボ ふつう★7 347コンボです。 --  &new{2017-09-11 (月) 22:44:29};
-flower裏とかで32分耐性付けてから挑むのをオススメする譜面 --  &new{2017-09-15 (金) 03:24:56};
-BPM倍取り無しで配置された初の32分音符である。 って正確な意味がいまいちよく分からないんだが、HS0.5でない見た目32分って意味なら蝶戀 〜Obsession〜(裏譜面)に前例があるよ。あれにも48分のHS1.5で見た目32分がある。 --  &new{2017-09-17 (日) 22:09:53};
-↑BPM190なのに、BPM380の16分が配置されていること。スクロール変化（見た目）はBPMとは関係ない --  &new{2017-09-18 (月) 06:27:52};
-↑意味がわからん。 --  &new{2017-09-18 (月) 09:24:18};
