[[難易度表/おに/亡き王女のためのパヴァーヌ]]
-最近ラヴェルの曲増えてきたな --  &new{2011-05-19 (木) 17:39:19};
-アレンジかな --  &new{2011-05-19 (木) 18:48:48};
-ヘビメタアレンジとみた --  &new{2011-05-19 (木) 22:06:31};
-ピアノ曲は練習曲みたいなドラムアレンジだけでいい --  &new{2011-05-20 (金) 00:42:00};
-副題からして白鳥やカノンと同系列のポップ系では…ってのは安直すぎかもだけど、大胆なアレンジはされてそう。 --  &new{2011-05-20 (金) 12:03:18};
-原曲を聞く限りだと100秒みたいな感じの雰囲気が合いそう。 --  &new{2011-05-20 (金) 21:26:07};
//-っていうかむしろ俺はこげどんぼ*氏の作品の「亡き"少女"のためのパヴァーヌ」のほうを思い出したんだがｗ　みんな知らない？ --  &new{2011-05-26 (木) 16:19:29};
-これも白鳥みたいに化けるんだろうな --  &new{2011-06-05 (日) 23:05:34};
-これきみあかのシリーズ曲じゃね？と勝手に予想 --  &new{2011-06-08 (水) 01:57:51};
//-俺の持ってるＣＤでは逝ける王女って訳されてた  --  &new{2011-06-16 (木) 15:24:53};
//-これの原曲もっと脳を鍛える大人のDSトレーニングに入ってるよ --  &new{2011-06-17 (金) 01:49:05};
//-ロリクラ臭しかしない件 --  &new{2011-06-18 (土) 10:52:22};
//-道化師のような神曲だと嬉しい --  &new{2011-07-12 (火) 18:33:27};
-★9ぐらい？ --  &new{2011-07-12 (火) 18:36:38};
-特に目立った難所はなくて、逆詐称。あと連打曲。 --  &new{2011-07-14 (木) 19:09:34};
-終盤のラッシュがなかったら★6あるかも怪しい --  &new{2011-07-14 (木) 20:27:54};
-白鳥みたいにはっちゃけたアレンジではなかったな --  &new{2011-07-14 (木) 20:36:49};
-サブタイトル見てふと思ったが、これ歌ってるのきみのあかりの人だよな。 --  &new{2011-07-14 (木) 23:26:29};
-原曲の面影がみじんも無い --  &new{2011-07-15 (金) 09:45:08};
//-http://www.nicovideo.jp/watch/sm15014212 ニコニコだけど、アニソンみたいになってる。 --  &new{2011-07-15 (金) 10:50:47};
-きみのあかりみたいな感じ --  &new{2011-07-15 (金) 11:27:05};
-いい曲だけど逆詐称 --  &new{2011-07-15 (金) 11:27:07};
//-連打曲ｗ　☆７で１１３万いったｗｗｗ　ぽた２のButtfly抜いたなｗ --  &new{2011-07-15 (金) 20:20:16};
//-俺はこれが一番好きだな　マジ感動泣けるわ　 --  &new{2011-07-15 (金) 23:11:57};
//-個人的にカレカノ・白鳥よりも好きです --  &new{2011-07-16 (土) 08:44:56};
-一回目のサビ終わり何て言ってるの？ --  &new{2011-07-17 (日) 02:30:19};
//-ラヴェルアレンジ多いな。 --  &new{2011-07-17 (日) 10:38:33};
